date,gdp
1/1/79,2526.61
1/4/79,2591.247
1/7/79,2667.565
1/10/79,2723.883
1/1/80,2789.842
1/4/80,2797.352
1/7/80,2856.483
1/10/80,2985.557
1/1/81,3124.206
1/4/81,3162.532
1/7/81,3260.609
1/10/81,3280.818
1/1/82,3274.302
1/4/82,3331.972
1/7/82,3366.322
1/10/82,3402.561
1/1/83,3473.413
1/4/83,3578.848
1/7/83,3689.179
1/10/83,3794.706
1/1/84,3908.054
1/4/84,4009.601
1/7/84,4084.25
1/10/84,4148.551
